200	0.11986	0
199.00001	0.35689	0
198	0.5938	0
197.00005	0.83044	0
196	1.0667	0
195.00008	1.30236	0
194	1.53736	0
193.00011	1.77148	0
192	2.00464	0
190.00057	2.46719	0
188	2.92478	0
186.00058	3.37654	0
184	3.82312	0
182.00053	4.26423	0
180	4.7005	0
178.00051	5.13156	0
176	5.55782	0
174.00052	5.97879	0
172	6.3948	0
170.00052	6.80533	0
168	7.21072	0
166.00053	7.61046	0
164	8.0049	0
162.00053	8.39354	0
160	8.77672	0
158.00052	9.15396	0
156	9.52562	0
154.00051	9.89129	0
152	10.2513	0
150.0005	10.60526	0
148	10.9535	0
146.00049	11.29564	0
144	11.63198	0
142.00048	11.96219	0
140	12.28658	0
138.00048	12.60478	0
136	12.91686	0
134.00051	13.22224	0
132	13.52092	0
130.00052	13.81232	0
128	14.09644	0
126.00053	14.37269	0
124	14.6411	0
122.00054	14.9011	0
120	15.15266	0
118.00052	15.39524	0
116	15.62902	0
114.00049	15.85374	0
112	16.0696	0
110.00045	16.27637	0
108	16.47424	0
106.00041	16.66304	0
104	16.8429	0
102.00037	17.01366	0
100	17.17544	0
98.00034	17.3281	0
96	17.47144	0
94.00032	17.60503	0
92	17.72854	0
90.00029	17.84148	0
88	17.9435	0
86.00025	18.03417	0
84	18.11314	0
82.00019	18.17998	0
80	18.23424	0
78.00011	18.27558	0
76	18.30424	0
74.00003	18.32065	0
72	18.32532	0
69.99997	18.31879	0
68	18.30158	0
65.99992	18.27421	0
64	18.23714	0
61.99989	18.19086	0
60	18.13608	0
57.99983	18.07308	0
56	18.00032	0
53.99967	17.91569	0
52	17.8168	0
49.9994	17.70107	0
48	17.56616	0
45.99899	17.40942	0
44	17.22866	0
41.99838	17.02092	0
40	16.78404	0
37.99773	16.5148	0
36	16.21374	0
33.99729	15.87945	0
32	15.51414	0
29.9968	15.11615	0
28	14.6872	0
25.99584	14.22296	0
24	13.72408	0
21.99419	13.1824	0
20	12.59962	0
17.99288	11.96488	0
16	11.28616	0
13.98828	10.54888	0
12	9.75142	0
10.99479	9.31485	0
10	8.85506	0
8.99211	8.35574	0
8	7.82566	0
6.98658	7.23693	0
6	6.6043	0
4.97738	5.86886	0
4	5.0747	0
3.18678	4.3374	0
2.4	3.57162	0
1.99563	3.16358	0
1.6	2.747	0
1.18579	2.27754	0
0.8	1.78476	0
0.59023	1.47882	0
0.4	1.1605	0
0.29411	0.95575	0
0.2	0.74542	0
0.1469	0.60774	0
0.1	0.4678	0
0.03881	0.2364	0
0	0	0
0.0004	-0.47234	0
0.1	-0.934	0
0.14661	-1.0626	0
0.2	-1.18836	0
0.294	-1.37844	0
0.4	-1.56226	0
0.58913	-1.84035	0
0.8	-2.10252	0
1.18172	-2.4989	0
1.6	-2.85724	0
1.99001	-3.14127	0
2.4	-3.39466	0
3.18074	-3.76863	0
4	-4.05446	0
4.99465	-4.31133	0
6	-4.52112	0
6.99894	-4.71862	0
8	-4.90422	0
8.99823	-5.06799	0
10	-5.20904	0
10.99895	-5.32703	0
12	-5.42554	0
13.99863	-5.57726	0
16	-5.6919	0
17.99974	-5.79105	0
20	-5.87572	0
21.99973	-5.94265	0
24	-5.99266	0
25.99991	-6.02745	0
28	-6.04808	0
29.99999	-6.05555	0
32	-6.05092	0
34.00005	-6.03533	0
36	-6.0098	0
38.00007	-5.97538	0
40	-5.93312	0
42.00008	-5.88402	0
44	-5.8289	0
46.00007	-5.76852	0
48	-5.70362	0
50.00005	-5.63495	0
52	-5.56328	0
54.00003	-5.48935	0
56	-5.41392	0
58	-5.33774	0
60	-5.26158	0
61.99999	-5.18608	0
64	-5.1113	0
65.99999	-5.03715	0
68	-4.96352	0
69.99999	-4.8903	0
72	-4.8174	0
74	-4.74471	0
76	-4.67212	0
78	-4.59952	0
80	-4.52682	0
82	-4.45393	0
84	-4.38084	0
86	-4.30757	0
88	-4.23416	0
90	-4.16065	0
92	-4.08706	0
94	-4.01341	0
96	-3.93972	0
98	-3.86603	0
100	-3.79238	0
102	-3.71878	0
104	-3.64524	0
106	-3.57174	0
108	-3.49828	0
110	-3.42485	0
112	-3.35144	0
114	-3.27804	0
116	-3.20464	0
118	-3.13125	0
120	-3.05786	0
122	-2.98445	0
124	-2.91102	0
126	-2.83758	0
128	-2.76414	0
130	-2.69069	0
132	-2.61724	0
134	-2.54377	0
136	-2.4703	0
138	-2.39684	0
140	-2.32338	0
142	-2.24992	0
144	-2.17646	0
146	-2.10301	0
148	-2.02956	0
150	-1.95611	0
152	-1.88266	0
154	-1.80921	0
156	-1.73576	0
158	-1.66231	0
160	-1.58886	0
162	-1.51541	0
164	-1.44196	0
166	-1.36851	0
168	-1.29506	0
170	-1.22161	0
172	-1.14816	0
174	-1.07471	0
176	-1.00126	0
178	-0.92781	0
180	-0.85436	0
182	-0.78091	0
184	-0.70746	0
186	-0.63401	0
188	-0.56056	0
190	-0.48711	0
192	-0.41366	0
193	-0.37694	0
194	-0.34022	0
195	-0.3035	0
196	-0.26678	0
197	-0.23005	0
198	-0.19332	0
199	-0.15659	0
200	-0.11986	0
